sd,agb
219.5662543,196.021
219.3330506,184.376
213.9305012,120.557
213.0655534,84.5373
212.257133,72.2524
213.8753225,114.534
213.923574,148.33
219.1703631,171.718
219.3450448,181.064
219.6983544,209.538
219.70662,215.917
219.1543932,172.623
214.0226098,121.639
214.009938,109.96
214.0403111,124.958
213.6061887,91.9475
213.9459556,139.248
214.1723346,145.204
219.1267815,175.342
219.1543932,171.168
219.1656156,174.885
213.9292752,129.494
213.1542978,84.4472
212.6875791,76.6756
210.4980572,52.1656
210.441006,46.2146
210.5672457,61.8932
213.8157199,110.01
213.758493,106.609
213.9581539,135.165
214.6599134,153.803
210.5917279,58.5787
212.7211413,77.9965
210.6626518,62.4069
213.8504952,145.595
212.6231839,73.0679
214.3911727,152.177
213.9292752,129.157
213.9581539,134.164
211.0748076,64.0707
210.7894264,62.7921
210.5917279,58.5156
213.4354794,97.5396
213.8880023,128.227
219.1656156,173.683
213.8456068,112.964
213.4648985,98.8533
213.8456068,113.469
213.8456068,113.224
213.8456068,113.469
213.4137358,95.9224
213.8698169,113.195
213.0655534,84.1087
213.3521766,93.5618
209.7103341,13.6571
213.9056167,129.15
210.7208397,61.7991
219.6369052,204.38
213.8348706,143.6
219.1815846,173.529
213.9007932,117.346
213.7815752,142.568
213.8582884,123.746
219.1377552,168.005
218.9310761,165.498
219.3131029,181.227
210.5096364,53.8303
213.8854916,122.527
213.2999312,88.7336
213.8344931,110.003
210.503961,54.9266
210.3041361,38.4189
211.8148713,69.9372
210.1346812,32.228
210.3965117,42.4686
213.3158039,91.4878
219.3290876,182.333
220.3213302,232.499
212.6591305,75.7074
213.3521766,93.5633
213.4939677,103.297
213.2502207,79.8179
213.6733848,96.2904
214.0027523,119.094
219.2568518,169.117
214.0226098,120.703
220.412088,234.983
213.0655534,83.0284
212.6575858,76.4024
210.32,37.2154
209.7979533,19.2585
209.8034243,21.8511
210.1688114,30.3717
213.3820722,91.7031
213.3426936,89.4556
213.708172,106.258
214.0403111,125.542
213.6633468,96.9933
214.0201007,115.887
210.0069497,17.0655
209.6216665,1.46121
209.6513592,4.91739
213.7729173,108.516
213.9051265,128.478
219.1577189,170.68
213.5198706,96.872
215.1834599,156.929
213.5710078,98.9635
212.2196457,68.6775
212.6201691,73.8501
212.9758233,78.8853
209.6709947,12.16063
210.3256798,40.8592
213.6179367,97.8344
214.109654,147.721
215.4458401,157.922
209.8196293,27.4387
220.5482594,272.826
213.961572,141.739
213.5229525,87.9821
211.2545291,60.7545
210.0149741,19.6187
210.0134654,18.4996
210.4499727,29.081
219.6573926,205.149
213.9527424,136.287
213.8460242,107.941
212.4287893,66.8256
210.520555,34.7334
210.5976734,39.304
210.5236468,56.4268
212.9758233,77.8441
210.245149,32.657
210.6972481,58.6933
210.5414152,41.1641
213.3803617,82.9585
212.1685099,68.4662
212.3417632,70.5132
213.0864723,83.094
213.7818325,142.885
213.8585456,124.746
213.8555669,119.184
213.8406747,140.279
213.0274338,81.9476
213.3974259,94.8742
213.4415192,81.8048
213.6061887,91.444
214.0226098,122.281
209.6216665,2.56375
209.6216665,2.83501
209.6561972,6.43896
211.588684,65.5669
209.6104936,0.208635
210.3460268,32.7811
209.6111942,0.964326
209.6104936,0.521113
213.1339721,82.0028
212.9220994,75.0226
210.7344736,54.9119
210.6881048,49.5797
210.9320383,58.5605
211.2172268,59.9204
212.3782689,65.7483
209.9098646,9.9323
209.8690628,7.2458
209.9225494,10.4651
209.6332777,3.97146
209.6216665,2.57051
209.6140013,2.16107
209.6216665,2.92831
209.8690628,6.76914
209.6561972,6.25452
213.9236747,110.901
213.8460242,106.834
213.5198706,95.9713
213.9595635,128.683
219.4824068,190.371
215.2063146,157.526
44.44001495,104.75
171.612302,559.44
239.2329976,902.32
57.65709491,221.68
111.789465,475.64
57.16797424,195.52
192.7430452,665.28
41.89939418,75.11
57.74992578,222.42
107.6750301,460.5
56.67932566,187.52
216.6809545,793.1
82.97212893,323.34
41.63572307,65.01
52.13238132,159.78
56.0099843,173.08
239.4499709,920.82
57.49340758,215.22
40.34757582,25.05
83.91175503,332.98
111.9134113,482.22
45.22196392,128.78
56.98237084,191.5
57.38124548,200.92
89.14464278,369.88
40.33763484,21.83
47.50992652,129.72
86.1292901,345.52
82.36296299,319.34
41.12134436,55.07
40.51910045,35.03
108.8075175,470.38
160.4680275,533.32
215.3883554,773.82
84.83601592,335.44
40.38823138,30.45
41.07142308,51.57
41.13499022,57.49
41.35031799,62.21
237.2187885,870.58
56.67932566,188.28
183.3578579,638.98
217.5916541,806.48
73.32430548,283.74
239.7843914,937.1
47.5411324,131.62
209.542237,735.52
47.4587513,127.1
40.38823138,29.97
238.7519508,888.9
40.38823138,29.23
206.483365,687
48.8169742,146.14
56.07368892,167.9
82.31893808,323.1
41.98121787,78.13
93.62092238,423.2
40.38823138,30.57
51.92530119,156.84
59.41161577,248.68
40.37543144,27.49
40.34883536,25.49
172.8430694,551.28
184.1826798,619.02
40.34757582,24.65
57.49340758,215.98
46.33859126,137.52
59.28225857,244.52
40.37929454,27.79
82.10272325,313.92
45.97377579,133.76
44.02952525,93.09
40.64194511,43.73
47.87262716,137.92
37.31130153,58.1742
37.30298067,59.0557
48.18340978,80.9457
38.30675988,93.1163
45.50565426,34.4326
48.20502779,81.3791
37.3212084,61.0963
36.58711578,16.45861
37.27858184,57.3487
38.27985843,90.0379
37.5589837,68.4124
36.82542846,36.4666
36.62705941,20.7844
37.24333288,55.3973
43.21725819,163.738
38.63417505,109.296
37.11959458,49.883
38.80468884,111.138
38.50725081,105.7203
52.66832293,140.499
37.31880399,62.3709
38.31413751,98.1698
38.4922223,102.8778
36.70496582,29.2797
37.19214459,55.4813
36.78075156,32.5416
38.50239059,104.5373
37.79973426,72.9351
38.83468838,115.403
36.67187295,11.08939
37.42471321,67.8477
38.14948231,81.6328
36.90986232,38.785
42.59651228,160.539
37.37751326,65.1622
36.59614799,18.64458
37.81703917,73.5306
39.9886695,151.474
38.15917158,86.2095
38.26530265,86.0271
37.24333288,54.8324
36.90613695,38.0159
37.31288975,61.597
36.75691216,31.2952
37.36762131,62.3616
36.78163283,33.1349
36.89744219,39.8956
38.30784859,90.7817
36.93697283,43.6139
39.70594213,149.379
38.98004799,125.424
37.56068068,69.8902
37.24257155,56.7671
36.93556406,44.2493
39.28062619,140.3
38.61667336,106.866
36.57404208,13.64924
38.06380677,81.2748
36.89744219,40.1875
36.64210026,24.8732
38.9883077,126.601
39.00661278,117.243
38.31640937,95.5287
38.99363893,131.926
37.22697098,55.8201
36.64203189,24.3728
36.58013663,14.37061
36.56803612,11.99491
36.68297911,27.5218
36.93657415,47.232
37.12955261,52.8692
36.93657415,45.1541
38.32265764,95.0739
49.55001132,100.022
37.87988217,75.6856
43.62934663,175.803
38.51199107,107.1913
36.64203189,23.9552
39.21289019,136.445
36.94010399,42.2295
36.5972187,19.03834
38.31640937,95.4459
38.48359459,104.5074
38.77351982,112.003
36.82359165,38.3942
38.06223027,79.0575
38.06380677,80.8103
45.53085256,36.3595
36.82359165,38.3231
38.14948231,83.435
38.02019138,75.2313
38.05367957,76.816
38.14948231,82.9557
36.77279788,31.7533
36.92555372,41.5049
36.76256212,14.7733
36.67743324,25.9531
37.3212084,60.5454
36.55231779,12.53528
38.12719759,81.8528
36.78074384,33.572
36.83546601,39.0681
38.48359459,104.4161
37.24257155,56.8629
45.27482611,32.3115
36.76059483,31.1787
37.87988217,76.6729
36.62358807,22.3636
36.67289983,24.827
39.30304692,140.687
36.76248958,14.53292
36.61653717,21.6431
38.51199107,106.5904
38.99878418,130.725
36.81209921,37.051
43.91085987,228.531
36.93657415,47.5153
36.73488252,30.239
37.24257155,56.9132
36.70496582,29.3845
37.06172826,51.3858
43.63011453,169.342
36.83178503,38.776
48.08555246,77.056
