PLOT_ID,POINT_X,POINT_Y,AGB_T_HA,AVG_YEAR,SIZE_HA
AUS1,148.7231577,-23.75010545,149.36,2005,0.5
AUS1,145.6453943,-25.80475632,13.7,2008,0.5
AUS1,147.5133296,-26.98086001,67.33,2009,0.5
AUS1,151.0868622,-26.2262015,91.17,2003,0.5
AUS1,152.4721056,-27.00124787,89.43,2001,0.5
AUS1,150.6229469,-24.0263805,88.25,2002,0.5
AUS1,146.838304,-28.19267638,27.06,2008,0.5
AUS1,152.3779177,-26.58815987,126.66,2002,0.5
AUS1,145.1599326,-27.69917602,21.59,2008,0.5
AUS1,150.4006033,-27.81556987,85.7,2002,0.5
AUS1,145.5926865,-25.82629394,30.22,2007,0.5
AUS1,145.7428527,-25.91693728,23.51,2007,0.5
AUS1,144.3741203,-27.20948758,5.9,2008,0.5
AUS1,152.4309076,-25.49359588,171.89,2011,0.5
AUS1,152.7104716,-27.41299612,228.5,2003,0.5
AUS1,146.6977706,-26.93139964,18.2,2007,0.5
AUS1,145.7549008,-26.03949571,17.18,2007,0.5
AUS1,144.2772695,-27.67611868,1.83,2008,0.5
AUS1,142.6849769,-25.4158522,3.15,2008,0.5
AUS1,149.5681311,-23.6368775,40.53,2002,0.5
AUS1,143.2179401,-26.6966934,1.82,2008,0.5
AUS1,148.4025087,-25.80880725,46.69,2008,0.5
AUS1,149.2854653,-24.17218543,48.2,2001,0.5
AUS1,152.4030508,-26.58294948,204.71,2002,0.5
AUS1,149.235208,-25.64034432,66.88,2002,0.5
AUS1,148.0840713,-25.74780333,57.07,2008,0.5
AUS1,151.0361119,-27.90046527,62.62,2004,0.404412
AUS1,152.3883624,-25.63875465,101.78,2002,0.404412
AUS1,152.822073,-26.47709391,176.24,2002,0.404412
AUS1,150.5826367,-26.40166692,83.77,2003,0.404412
AUS1,151.9936036,-26.37387561,149.24,2001,0.403406
AUS1,151.8996397,-26.35343017,71.63,2004,0.403406
AUS1,115.9879267,-34.38569924,324.34,2005,0.4
AUS1,115.5674961,-34.12286816,338.1,2012,0.4
AUS1,115.7559942,-34.24698832,369.44,2013,0.4
AUS1,150.8933499,-25.27679135,76.66,2011,0.4
AUS1,145.1407814,-23.77686851,11.82,2004,0.4
AUS1,151.178897,-25.66552028,105.08,2011,0.4
AUS1,151.3855208,-25.78267918,39.95,2011,0.4
AUS1,151.7135958,-28.58872918,190.46,2011,0.4
AUS1,145.1722908,-23.73298244,14.7,2004,0.4
AUS1,151.1124539,-27.3450071,63.15,2011,0.4
AUS1,143.9011733,-28.56699971,0.73,2008,0.375
AUS1,143.558028,-27.81470315,2.62,2008,0.375
AUS1,149.47235,-37.07859245,625.39,2013,0.35
AFR6,37.67327083,-6.904322917,337.2,2009,0.32
AUS1,144.9931649,-23.73518488,29,2004,0.32
AUS1,144.9851043,-23.75739918,6.27,2004,0.32
AUS1,144.3671452,-23.73960528,8.09,2007,0.3
AUS1,116.089702,-34.46950828,134.52,2006,0.28274337
AUS1,116.2735056,-34.70436298,246.06,2007,0.28274337
AUS1,145.0945575,-23.70003522,3.62,2004,0.28
AFR14,34.1744828,-19.00773867,18.4,2009,0.268718
AFR11,30.39551889,-0.677638954,6.636,2004.5,0.25
AFR11,30.21601761,-0.589883911,2.606,2004.5,0.25
AFR11,30.7548445,0.042696588,11.386,2004.5,0.25
AFR_FOS,11.583665,-0.195146875,300,2016,0.25
AFR11,30.57522432,0.308443052,6.18,2004.5,0.25
AFR11,30.39569762,-0.050406349,27.946,2004.5,0.25
AFR11,29.94627113,-1.179687849,1.359,2004.5,0.25
AFR11,30.30576144,-0.64053691,0.06,2004.5,0.25
AFR11,30.65949912,0.675476024,46.667,2004.5,0.25
AFR11,30.66504964,-0.005217149,12.814,2004.5,0.25
AFR11,30.57794675,-0.138093399,30.598,2004.5,0.25
AFR11,29.94622101,-1.224859679,1.546,2004.5,0.25
AFR11,30.93443758,-0.22311606,17.868,2004.5,0.25
AFR11,29.94667396,-0.719837681,0.138,2004.5,0.25
AFR11,30.48546291,-0.188699947,8.892,2004.5,0.25
AFR11,30.48544813,-0.273662558,0.46,2004.5,0.25
AFR_FOS,9.517081597,5.346505208,256.4,2006,0.25
AFR_FOS,-3.0147375,5.99145375,194.4,2013,0.25
AFR_FOS,12.75702409,3.331714969,503.2,2008,0.25
AFR11,30.93437382,-0.505208499,1.883,2004.5,0.25
AFR11,30.760222,0.178302624,10.502,2004.5,0.25
AFR_FOS,9.551704167,5.356527431,411.6,2007,0.25
AFR11,31.11658665,-0.816322972,0.794,2004.5,0.25
AFR11,30.5751702,-0.496948902,3.752,2004.5,0.25
AFR11,30.21073498,0.313774251,0.842,2004.5,0.25
AFR11,30.75484244,-0.092908767,35.823,2004.5,0.25
AFR11,29.85641165,-1.269923319,24.929,2004.5,0.25
AFR11,30.39282403,-0.680348872,2.583,2004.5,0.25
AFR11,30.84435408,-0.949086673,0.108,2004.5,0.25
AFR11,30.66502264,-0.279122632,35.298,2004.5,0.25
AFR11,30.57773711,-0.770837505,0.032,2004.5,0.25
AFR11,30.12597326,-0.999163051,3.774,2004.5,0.25
AFR11,29.76724935,-0.640224551,12.408,2004.5,0.25
AFR11,30.21596943,-0.680249738,15.558,2004.5,0.25
AFR11,30.48536308,-0.547531246,2.881,2004.5,0.25
AFR_FOS,12.71543647,3.325500031,484.4,2008,0.25
AFR_FOS,11.58222125,-0.190441875,287.6,2016,0.25
AFR11,30.66769732,-0.364097273,2.892,2004.5,0.25
AFR11,29.76718896,-0.730552911,0.45,2004.5,0.25
AFR_FOS,11.57805062,-0.201431875,4,2016,0.25
AFR11,30.03593696,-1.267426006,4.413,2004.5,0.25
AFR_FOS,9.523340278,5.347487848,377.6,2006,0.25
AFR11,30.57519905,0.404258497,0.578,2004.5,0.25
AFR11,30.48546285,0.183689489,5.274,2004.5,0.25
AFR_FOS,25.3103,0.303425,271.6,2013,0.25
AFR11,29.94672853,-0.632203992,10.7,2004.5,0.25
AFR11,30.85001065,-0.273733257,30.041,2004.5,0.25
AFR11,30.57511299,-0.635248358,17.934,2004.5,0.25
AFR11,30.1261488,-0.770555675,9.82,2004.5,0.25
AFR11,29.67746591,-0.725067989,26.885,2004.5,0.25
AFR11,30.12637215,-0.279003662,2.378,2004.5,0.25
AFR_FOS,11.5826325,-0.19787625,71.6,2016,0.25
AFR_FOS,-3.007456875,5.991008125,92,2013,0.25
AFR11,30.03594004,-1.264715473,2.586,2004.5,0.25
AFR11,30.12369856,-0.183222775,0.46,2004.5,0.25
AFR11,29.76708795,-0.860625663,1.38,2004.5,0.25
AFR11,30.12625674,-0.587127387,0.364,2004.5,0.25
AFR_FOS,9.5518875,5.356973959,344.4,2007,0.25
AFR11,30.57525259,-0.143516643,2.619,2004.5,0.25
AFR11,30.66503206,-0.225787913,10.326,2004.5,0.25
AFR_FOS,12.71517141,3.325152094,608.4,2008,0.25
AFR11,30.03664663,0.133022213,3.148,2004.5,0.25
AFR11,30.21584847,-0.866403196,11.838,2004.5,0.25
AFR11,29.6828493,-0.725071953,12.172,2004.5,0.25
AFR11,30.30045796,-0.454367165,12.384,2004.5,0.25
AFR11,29.85686167,-0.815532903,24.125,2004.5,0.25
AFR11,30.93417108,-0.951854135,1.686,2004.5,0.25
AFR11,30.84437814,-0.909306832,40.218,2004.5,0.25
AFR11,29.94612165,-1.309782667,5.686,2004.5,0.25
AFR11,30.4853831,-0.496915272,17.111,2004.5,0.25
AFR11,30.75483922,-0.13539844,13.276,2004.5,0.25
AFR11,30.57509259,-0.677732486,0.886,2004.5,0.25
AFR11,30.84437653,-0.912019094,0.864,2004.5,0.25
AFR_FOS,11.58222125,-0.189791875,284.8,2016,0.25
AFR11,30.93440106,-0.40936943,25.679,2004.5,0.25
AFR11,30.57525891,0.048114259,7.264,2004.5,0.25
AFR_FOS,-2.04044,4.85015125,382,2013,0.25
AFR_FOS,-2.04940625,4.797911875,349.2,2013,0.25
AFR11,30.66496408,0.489259158,47.719,2004.5,0.25
AFR11,30.66490678,0.632991684,51.775,2004.5,0.25
AUS1,116.0319904,-34.4528148,337.28,2007,0.25
AUS1,149.7656835,-24.82584191,33.23,2007,0.25
AUS1,146.5059444,-34.79388889,75.99,2011,0.25
AUS1,147.4722991,-25.7167228,119.97,2015,0.25
AUS1,116.1525764,-32.69753682,186.18,2012,0.25
AUS1,145.0462025,-23.78071149,77.55,2004,0.24
AUS1,145.7147322,-20.71696296,25.43,2004,0.24
AUS1,145.7352763,-20.64104615,27.14,2004,0.24
AUS1,145.7466405,-20.70689574,34.15,2004,0.24
AUS1,144.9606047,-23.77350077,64.94,2004,0.24
AUS1,142.7165301,-15.53533574,2.82,2012,0.2
AUS1,145.9719444,-34.76444444,60.63,2011,0.2
AUS1,148.2828098,-23.54073566,53.81,2000,0.2
AUS1,145.9738889,-34.76222222,71.81,2011,0.2
AUS1,150.5161022,-23.55434426,49.89,2014,0.196349541
AUS1,149.9386,-27.41497004,36.3,2014,0.196349541
EU2,-6.740698072,38.14152875,45.90801215,2002,0.196
EU2,-5.069739767,37.8927101,51.24530873,2006,0.196
EU2,-2.326055474,38.21540367,69.6121409,2004,0.196
EU2,-4.500239358,40.56834284,58.50747931,2002,0.196
EU2,-4.524571889,43.13481274,130.739618,2000,0.196
EU2,-0.911623375,42.72070638,16.50173449,2005,0.196
EU2,-5.172360059,38.28734229,25.7716004,2006,0.196
EU2,2.830551751,42.15425502,77.99413684,2001,0.196
EU2,-4.866867413,39.29275675,85.97881065,2001,0.196
EU2,-2.71844682,42.86547563,41.99649444,2005,0.196
EU2,-1.95512133,40.14994921,8.006180581,2003,0.196
EU2,-2.352816698,42.71090586,47.58666741,2005,0.196
EU2,-1.287722355,41.00677194,34.48225573,2005,0.196
EU2,-4.757274583,42.67223736,86.63789338,2003,0.196
EU2,-3.92317036,43.20427771,14.2886742,2000,0.196
EU2,2.313906596,41.80108044,33.67991762,2001,0.196
EU2,-4.429984385,38.32577858,45.64101027,2006,0.196
EU2,0.562386421,42.28156809,21.88625337,2004,0.196
EU2,-4.675400836,41.88997895,20.81105419,2002,0.196
EU2,-2.926774048,42.6766897,52.18280911,2003,0.196
EU2,-0.885991059,42.75625489,53.71808801,2004,0.196
EU2,-5.341551364,40.64442333,55.00716586,2002,0.196
EU2,-4.147035746,38.518131,14.0556139,2004,0.196
EU2,-5.425872296,36.77748825,60.12889872,2007,0.196
EU2,-6.824426941,39.15225381,25.48975355,2001,0.196
EU2,-4.766858103,40.37540115,49.34505717,2002,0.196
EU2,-2.483684985,43.12579671,257.2190729,2005,0.196
EU2,-6.459129494,40.91041759,16.68474844,2002,0.196
