Province,Estrato Florestal,id_parcela,Ycoordinate,Xcoordinate, Vt (m3_ha) , Vc (m3_ha) , AGB (ton_ha) , BGB (ton_ha) ,year,size
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0411371,-12.600573,39.432727,99.31,23.5,74.26,28.28,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0392951,-12.600573,39.377527,122.07,38.46,108.7,39.96,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0038072,-12.608069,38.29103,10.05,1.56,9.64,4.57,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0038073,-12.608072,38.291951,6.85,1.44,6.06,3.85,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0038071,-12.608973,38.291027,48.63,10.04,40.33,15.73,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0038074,-12.608976,38.291948,56.32,12,52.3,20.91,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0343993,-12.636068,39.231147,140.32,36.48,162.54,43.63,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0343992,-12.636069,39.230227,167.06,57.82,165.33,46.41,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0343991,-12.636973,39.230227,112.81,57.23,110.64,30.64,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0343994,-12.636973,39.231148,124.16,39.97,136.95,37.05,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0748413,-12.641322,40.437314,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0748412,-12.641327,40.436393,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0748414,-12.642226,40.437319,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0748411,-12.642231,40.436398,61.23,14.46,56.02,22.34,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0675033,-12.669465,40.225744,79.79,23.13,106.08,29.7,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0675032,-12.669469,40.224823,159.52,31.9,192.47,53.89,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0675034,-12.670369,40.225748,53.83,9.14,56.35,15.78,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0675031,-12.670373,40.224827,80.11,20.2,120.22,33.66,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0016372,-12.680069,38.18033,92.54,36.29,75.54,26.53,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0016373,-12.680072,38.181251,46.14,20.08,41.42,16.89,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0016371,-12.680973,38.180327,95.65,40.83,87.5,29.17,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0016374,-12.680976,38.181248,95.16,43.01,84.6,31.18,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0256612,-12.681369,38.972328,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0256613,-12.681369,38.973249,134.76,40.99,143.77,45.1,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",6752,-12.68219885,36.02001177,129.85,61.67,109.11,47.18,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",6753,-12.68220917,36.02093152,96.82,42.34,80.26,38.6,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0256611,-12.682273,38.972327,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0256614,-12.682274,38.973248,0,0,0,0,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",6751,-12.68310191,36.02000126,107.33,53.35,88.51,39.45,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",6754,-12.68311223,36.02092101,149.18,71.89,115.6,44.07,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",6333,-12.69098604,35.06090946,104.02,36.28,81.52,34.58,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",6332,-12.69099318,35.05998903,120.75,55.5,93.81,47.83,2016,0.1
Niassa,Floresta (semi-) sempreverde,6773,-12.69159246,34.99090959,54.84,26.76,70.58,19.76,2016,0.1
Niassa,Floresta (semi-) sempreverde,6772,-12.69159936,34.98998911,9.73,4.49,13.74,3.85,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",6334,-12.69188975,35.06091674,115.94,38.09,87.06,42.74,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",6331,-12.69189689,35.05999631,85.53,37.88,72.46,38.85,2016,0.1
Niassa,Floresta (semi-) sempreverde,6313,-12.69209002,34.92091506,25.29,10.89,35.75,10.41,2016,0.1
Niassa,Floresta (semi-) sempreverde,6312,-12.69209668,34.91999455,62.58,29.57,66.55,23.88,2016,0.1
Niassa,Floresta (semi-) sempreverde,6774,-12.69249621,34.99091662,75.49,40.33,100.59,29,2016,0.1
Niassa,Floresta (semi-) sempreverde,6771,-12.69250311,34.98999614,64.45,34.65,85.09,24.81,2016,0.1
Niassa,Floresta (semi-) sempreverde,6323,-12.69259353,34.84091075,63.57,29.14,67.3,21.53,2016,0.1
Niassa,Floresta (semi-) sempreverde,6322,-12.69259991,34.83999019,81.78,27.93,76.88,24.48,2016,0.1
Niassa,Floresta (semi-) sempreverde,6314,-12.6929938,34.92092185,75.99,45.35,74.52,25.66,2016,0.1
Niassa,Floresta (semi-) sempreverde,6311,-12.69300046,34.92000133,92.59,49.11,92.52,30.18,2016,0.1
Niassa,Floresta (semi-) sempreverde,6324,-12.69349735,34.84091725,37.9,15.69,43.71,13.06,2016,0.1
Niassa,Floresta (semi-) sempreverde,6321,-12.69350373,34.83999669,22.37,6.98,28.68,8.19,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0005482,-12.697869,38.088231,18.71,5.25,17.01,8.52,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0005483,-12.697872,38.089152,29.78,10.69,26.69,14.55,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0005481,-12.698773,38.088227,46.82,14.35,40.72,19.1,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0005484,-12.698777,38.089148,21.59,8.23,19.94,9.77,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0691133,-12.705465,40.271944,238.48,66.51,216.02,58.27,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0691132,-12.705469,40.271023,189.07,46.85,245.94,68.73,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0684683,-12.705565,40.253544,25.32,1.74,21.8,11.7,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0684682,-12.705569,40.252623,42.33,5.74,35.28,17.87,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0691134,-12.706369,40.271948,89.51,30.23,110.06,35.35,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0691131,-12.706373,40.271027,206.72,77.93,243.41,70.3,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0684684,-12.706469,40.253548,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0684681,-12.706473,40.252627,18.65,2.19,29.93,10.41,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0365333,-12.708368,39.295647,62.72,19.42,57.27,26.46,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0365332,-12.708369,39.294726,50.27,11.96,44.43,21.83,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0365334,-12.709272,39.295649,0,0,0,0,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0365331,-12.709273,39.294727,85.92,29.48,73.06,29.49,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",6663,-12.71878712,35.95091007,131.89,43.47,100.03,36.65,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",6662,-12.71879737,35.94999017,95.76,42.74,71.12,29.85,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",6664,-12.71969021,35.95092052,149.48,16.14,113.94,41.29,2016,0.1
Niassa,"Floresta (semi-) decidua, incluindo Miombo",6661,-12.71970045,35.95000061,148.31,69.45,113.4,46.74,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0745643,-12.722765,40.428543,66.84,9.59,103.43,28.49,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0745642,-12.722769,40.427622,54.46,8.31,68.84,19.27,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0745644,-12.723669,40.428548,48.35,6.31,64,17.92,2016,0.1
Cabo Delgado,Floresta (semi-) sempreverde,CD0745641,-12.723673,40.427627,79.11,16.74,122.37,34.26,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0006372,-12.724969,38.097331,63.64,31.46,57.4,23.58,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0006373,-12.724972,38.098252,67.24,29.96,57.09,23.02,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0006371,-12.725873,38.097327,93.6,46.84,80.1,30.03,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0006374,-12.725877,38.098248,105.69,44.9,89.96,39.78,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0586593,-12.733891,39.958914,37.63,9.69,33.79,16.4,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0586592,-12.733894,39.957993,54.89,16.97,47.51,20.46,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0586594,-12.734795,39.958917,77.63,18.55,64.69,28.82,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0586591,-12.734798,39.957996,71.46,20.53,63.24,28.14,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0071762,-12.735011,38.428869,12.89,3.17,11.68,5.34,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0071763,-12.735013,38.42979,23.96,8.99,21.95,9.63,2016,0.1
Cabo Delgado,"Floresta (semi-) decidua, incluindo Miombo",CD0071761,-12.735915,38.428867,12.28,4.85,11.12,6.59,2016,0.1
